State,Map Type,Num_vertices,Num_edges,Planar,Connected,Avg Degree,Median Degree,Max Degree,ln_ST,ST_const
ak,b,28568.0,67858.0,False,False,4.750630075609073,4.0,215.0,-1.0,-3.500420050406049e-05
al,b,185976.0,461910.0,True,True,4.96741515034198,4.0,71.0,242718.43131945658,1.305106203593241
ar,b,136422.0,335634.0,True,True,4.920526014865637,4.0,57.0,177535.68995868464,1.3013714060685566
az,b,155444.0,392127.0,True,True,5.045251022876406,4.0,81.0,202889.74148614594,1.305227229652775
ca,b,519723.0,1291906.0,True,False,4.971517519909644,4.0,78.0,-1.0,-1.9241018773462017e-06
co,b,140345.0,346078.0,True,True,4.931818019879582,4.0,64.0,182156.17105765847,1.2979170690630837
ct,b,49926.0,125987.0,True,True,5.0469494852381525,4.0,33.0,65945.67479060375,1.3208683810159787
de,b,20198.0,48440.0,True,True,4.796514506386771,4.0,72.0,25049.43457509997,1.2401938100356455
fl,b,390066.0,952205.0,True,False,4.882276332723181,4.0,117.0,-1.0,-2.563668712474299e-06
ga,b,232717.0,575304.0,True,True,4.944236991710962,4.0,49.0,302174.3118708928,1.2984625612692362
hi,b,14732.0,36492.0,True,False,4.954113494433885,4.0,52.0,-1.0,-6.787944610371979e-05
ia,b,175199.0,416526.0,True,True,4.754890153482611,4.0,42.0,227799.72451729502,1.3002341595402658
id,b,81879.0,204297.0,True,True,4.990217271827941,4.0,96.0,107315.21443440166,1.3106561442421336
il,b,369978.0,896522.0,True,True,4.846353026396164,4.0,74.0,484291.4815952256,1.3089737270735708
in,b,204568.0,496733.0,True,True,4.856409604630246,4.0,39.0,267172.6063823023,1.3060332328726991
ks,b,172529.0,408475.0,True,True,4.735145975459198,4.0,53.0,223573.11464082167,1.2958581724859106
ky,b,132662.0,330288.0,True,False,4.979391234867558,4.0,45.0,-1.0,-7.537953596357661e-06
la,b,142874.0,348310.0,False,True,4.875764659770147,4.0,77.0,185155.44783327484,1.2959352144776155
ma,b,107278.0,269028.0,True,True,5.01552974514812,4.0,54.0,141140.39981238914,1.31565092388364
md,b,83827.0,206698.0,False,True,4.931537571426867,4.0,60.0,108266.50009079333,1.2915468773878742
me,b,47138.0,116322.0,True,True,4.935381221095507,4.0,73.0,60954.96320853774,1.2931172983269918
mi,b,254730.0,617141.0,False,True,4.8454520472657325,4.0,49.0,329525.747071754,1.293627554947411
mn,b,198705.0,475487.0,True,True,4.78585843335598,4.0,96.0,254882.21471945493,1.282716663996653
mo,b,253632.0,625572.0,True,True,4.932910673732021,4.0,61.0,333538.2044482228,1.3150478033064552
ms,b,112241.0,276363.0,True,True,4.924457194786219,4.0,46.0,147268.89342253437,1.31207752445661
mt,b,88417.0,217487.0,True,True,4.919574290012101,4.0,139.0,114250.95804935097,1.292183155381329
nc,b,236638.0,584338.0,True,True,4.938665810224901,4.0,76.0,304520.23936096276,1.2868611100540182
nd,b,84566.0,199484.0,True,True,4.717829860700518,4.0,36.0,108908.25942712551,1.287849247062951
ne,b,119103.0,285540.0,True,True,4.794841439762223,4.0,38.0,155129.9610030117,1.302485756051583
nh,b,31948.0,78880.0,True,True,4.938024289470389,4.0,47.0,40950.99583681216,1.2818015474149291
nj,b,137972.0,343249.0,True,True,4.975632737077088,4.0,58.0,182117.56241651392,1.3199602993108306
nm,b,107215.0,268806.0,True,True,5.014335680641701,4.0,70.0,141693.87927157705,1.3215863384001965
ny,b,288819.0,712436.0,True,False,4.933442744417784,4.0,49.0,-1.0,-3.4623760902156715e-06
oh,b,276428.0,678549.0,True,True,4.9094085982606686,4.0,44.0,363551.547714518,1.315176276334228
ok,b,180154.0,431781.0,True,True,4.793465590550307,4.0,72.0,232423.77449592715,1.290139405708045
or,b,130807.0,328950.0,True,True,5.029547348383496,4.0,99.0,172759.94499105788,1.3207240055276697
pa,b,336985.0,833126.0,True,True,4.9445880380432365,4.0,59.0,445343.1787745162,1.3215519348769713
ri,b,25649.0,66097.0,True,False,5.153963117470466,5.0,44.0,-1.0,-3.8987874770946236e-05
sc,b,146844.0,364934.0,True,True,4.970363106425867,4.0,62.0,189901.26397053569,1.2932177274559102
sd,b,71383.0,167472.0,True,True,4.692209629743776,4.0,79.0,90969.68976436701,1.2743887167023942
tn,b,179717.0,452796.0,True,True,5.038989077271488,4.0,76.0,238035.0922282711,1.3244995867295308
tx,b,668757.0,1644028.0,False,True,4.916667788150255,4.0,71.0,871949.3086018857,1.3038357857964638
ut,b,71207.0,182780.0,True,True,5.133764938840282,4.0,93.0,95839.2543730354,1.345924619391849
va,b,163491.0,406084.0,True,True,4.967661828479855,4.0,57.0,213182.5955377371,1.3039408624189532
vt,b,24611.0,61175.0,True,True,4.971354272479785,4.0,34.0,32303.92224202163,1.312580644509432
wa,b,158093.0,387766.0,True,True,4.905542939915113,4.0,97.0,205723.3503391207,1.3012805775026135
wi,b,203059.0,494598.0,True,True,4.871470853298795,4.0,95.0,264316.0145287148,1.3016710144771462
wv,b,72558.0,181645.0,True,True,5.0068910388930234,4.0,41.0,94848.26956588058,1.3072062290289228
wy,b,53769.0,136997.0,True,True,5.09576149826108,4.0,65.0,72150.37853931589,1.341858292683812
mean,bg,164684.6326530612,404708.1836734694,0.8979591836734694,0.8571428571428571,4.923562121305996,4.020408163265306,68.46938775510205,207148.1763873288,1.303365359298003
median,bg,140345.0,346078.0,1.0,1.0,4.933442744417784,4.0,62.0,183655.80944546667,1.3031607709240234
