State,Map Type,Num_vertices,Num_edges,Planar,Connected,Avg Degree,Median Degree,Max Degree,ln_ST,ST_const
ak,bg,504.0,1323.0,True,True,5.25,5.0,22.0,674.7760795980856,1.3388414277739795
al,bg,3925.0,10903.0,True,True,5.555668789808917,5.0,20.0,5806.494587226216,1.4793616782741952
ar,bg,2294.0,6357.0,True,True,5.542284219703575,5.0,16.0,3350.8622694166756,1.460707179344671
az,bg,4773.0,12545.0,True,True,5.256652000838048,5.0,29.0,6726.299757150355,1.4092394211502943
ca,bg,25607.0,69378.0,False,False,5.418674581169212,5.0,42.0,-1.0,-3.9051821767485456e-05
co,bg,4058.0,11001.0,False,True,5.421882700837851,5.0,24.0,5857.703511087437,1.4434951974094226
ct,bg,2716.0,7485.0,True,True,5.511782032400589,5.0,33.0,4018.979814607351,1.4797421997817934
de,bg,706.0,1889.0,True,True,5.351274787535411,5.0,18.0,1005.9596196168786,1.424871982460168
fl,bg,13388.0,36385.0,True,False,5.435464595159845,5.0,44.0,-1.0,-7.469375560203167e-05
ga,bg,7446.0,20537.0,False,True,5.516250335750739,5.0,18.0,10991.00534303879,1.4760952649796926
hi,bg,1083.0,2930.0,True,False,5.410895660203139,5.0,72.0,-1.0,-0.0009233610341643582
ia,bg,2703.0,7325.0,True,True,5.419903810580836,5.0,15.0,3835.9569087390055,1.4191479499589366
id,bg,1284.0,3452.0,True,True,5.376947040498442,5.0,20.0,1828.6684254117777,1.4241965929998268
il,bg,9898.0,26851.0,False,True,5.4255405132349965,5.0,45.0,14315.045954025674,1.4462564107926525
in,bg,5290.0,14480.0,True,True,5.474480151228733,5.0,16.0,7698.062812518761,1.4552103615347376
ks,bg,2461.0,6492.0,True,True,5.275904104022755,5.0,15.0,3416.6587743459754,1.3883213223673203
ky,bg,3581.0,9898.0,True,True,5.528064786372521,5.0,20.0,5268.578121543507,1.4712589001797005
la,bg,4294.0,11880.0,False,True,5.533302282254309,5.0,25.0,6316.6358714435555,1.471037697122393
ma,bg,5116.0,14266.0,False,True,5.577013291634089,5.0,80.0,7579.3233968918885,1.4814940181571323
md,bg,4079.0,11131.0,False,True,5.457710223093896,5.0,38.0,5918.10504936178,1.4508715492428979
me,bg,1184.0,3294.0,True,True,5.5641891891891895,5.0,27.0,1739.8023626072263,1.4694276711209682
mi,bg,8386.0,22459.0,True,True,5.3563081326019555,5.0,29.0,12085.37928807741,1.4411375254087062
mn,bg,4706.0,12722.0,True,True,5.406714832129197,5.0,17.0,6771.475825678005,1.4389026403905663
mo,bg,5031.0,13816.0,True,True,5.492347445835818,5.0,17.0,7320.240530861404,1.4550269391495536
ms,bg,2445.0,6740.0,True,True,5.513292433537832,5.0,21.0,3566.8799880294746,1.4588466208709507
mt,bg,900.0,2436.0,True,True,5.413333333333333,5.0,15.0,1259.175849530444,1.399084277256049
nc,bg,7111.0,19634.0,True,True,5.522148783574743,5.0,25.0,10519.420863917308,1.479316673311392
nd,bg,632.0,1636.0,True,True,5.177215189873418,5.0,13.0,849.0389257745793,1.3434160217952205
nh,bg,997.0,2705.0,True,True,5.426278836509528,5.0,11.0,1433.5934676240627,1.4379071891916375
nj,bg,6599.0,18172.0,False,True,5.507501136535839,5.0,45.0,9682.389791273075,1.4672510670212267
nm,bg,1614.0,4357.0,True,True,5.399008674101611,5.0,19.0,2288.5266661580317,1.41792234582282
ny,bg,16070.0,43312.0,False,False,5.390416925948974,5.0,63.0,-1.0,-6.222775357809582e-05
oh,bg,9472.0,26085.0,True,True,5.5078125,5.0,34.0,13890.73074692971,1.466504512978221
ok,bg,3374.0,9044.0,True,True,5.360995850622406,5.0,18.0,4802.524919878444,1.4233920924358163
or,bg,2970.0,8239.0,True,True,5.548148148148148,5.0,24.0,4364.617148297034,1.4695680633996748
pa,bg,10173.0,28336.0,False,True,5.5708247321340805,5.0,29.0,14973.345025882025,1.4718711320045241
ri,bg,792.0,2155.0,False,False,5.441919191919192,5.0,42.0,-1.0,-0.0012626262626262627
sc,bg,3408.0,9425.0,False,True,5.531103286384977,5.0,26.0,5021.126216274023,1.4733351573574012
sd,bg,694.0,1831.0,True,True,5.276657060518732,5.0,13.0,946.3593449981339,1.363630180112585
tn,bg,4562.0,12615.0,True,True,5.530469092503288,5.0,18.0,6723.848693154053,1.4738817828044832
tx,bg,18638.0,50546.0,True,True,5.423972529241335,5.0,38.0,26910.861795194898,1.443870683291925
ut,bg,2020.0,5429.0,True,True,5.375247524752475,5.0,21.0,2892.7782376359564,1.4320684344732457
va,bg,5963.0,16415.0,False,True,5.50561797752809,5.0,23.0,8738.738473348123,1.4654936228992324
vt,bg,552.0,1474.0,True,True,5.340579710144928,5.0,11.0,777.9533000329368,1.4093356884654653
wa,bg,5311.0,14866.0,False,True,5.598192430803992,5.0,56.0,7870.3230424809735,1.4818909889815428
wv,bg,1639.0,4467.0,True,True,5.450884685784015,5.0,14.0,2347.701201018798,1.4323985363140928
wy,bg,457.0,1229.0,True,True,5.378555798687089,5.0,15.0,634.1104371392241,1.3875501906766392
mean,bg,4912.893617021276,13403.127659574468,0.7021276595744681,0.8936170212765957,5.441477262524939,5.0,27.574468085106382,6024.287105662359,1.4410280759777083
median,bg,3581.0,9898.0,1.0,1.0,5.435464595159845,5.0,22.0,5144.852168908765,1.4485639800177752
