State,Map Type,Num_vertices,Num_edges,Planar,Connected,Avg Degree,Median Degree,Max Degree,ln_ST,ST_const
ak,t,177.0,454.0,True,True,5.129943502824859,5.0,14.0,225.3334307818825,1.2730702304061159
al,t,1437.0,4014.0,True,True,5.586638830897703,5.0,15.0,2130.603432196802,1.4826746222663896
ar,t,823.0,2240.0,True,True,5.4434993924665855,5.0,13.0,1175.2287555801724,1.4279814770111452
az,t,1765.0,4593.0,True,True,5.204532577903683,5.0,23.0,2458.086458583467,1.3926835459396414
ca,t,9129.0,24976.0,False,False,5.471793186548362,5.0,41.0,-1.0,-0.00010954102311315588
co,t,1447.0,3909.0,False,True,5.402902557014513,5.0,16.0,2079.274366279255,1.4369553326048756
ct,t,883.0,2458.0,True,True,5.567383918459796,5.0,26.0,1307.2562548059145,1.4804714097462226
de,t,262.0,697.0,True,True,5.320610687022901,5.0,17.0,367.95303392225804,1.404400892833046
fl,t,5160.0,14097.0,True,False,5.463953488372093,5.0,34.0,-1.0,-0.0001937984496124031
ga,t,2796.0,7762.0,False,True,5.5522174535050075,5.0,14.0,4143.708727589879,1.4820131357617594
hi,t,461.0,1244.0,True,False,5.396963123644252,5.0,57.0,-1.0,-0.0021691973969631237
ia,t,896.0,2348.0,True,True,5.241071428571429,5.0,13.0,1223.1489478466542,1.3651215935788552
id,t,456.0,1196.0,True,True,5.245614035087719,5.0,14.0,625.4726262679587,1.3716504962016638
il,t,3265.0,8728.0,False,True,5.346401225114855,5.0,45.0,4667.94822324261,1.4296931771034027
in,t,1696.0,4627.0,True,True,5.456367924528302,5.0,12.0,2447.346309970274,1.443010795973039
ks,t,829.0,2168.0,True,True,5.230398069963812,5.0,13.0,1133.4277778185406,1.3672228924228476
ky,t,1306.0,3579.0,True,True,5.480857580398163,5.0,13.0,1899.242029056693,1.4542435138259517
la,t,1388.0,3861.0,False,True,5.563400576368876,5.0,18.0,2033.9154082248756,1.4653569223522158
ma,t,1620.0,4577.0,False,True,5.650617283950617,5.0,45.0,2411.681455862429,1.4886922567052032
md,t,1475.0,3993.0,True,True,5.414237288135594,5.0,26.0,2124.6728851735343,1.4404561933379894
me,t,407.0,1139.0,True,True,5.597051597051597,5.0,15.0,596.1354843004655,1.4647063496325934
mi,t,3017.0,7989.0,True,True,5.295989393437189,5.0,25.0,4291.073581844661,1.4222981709793374
mn,t,1505.0,4102.0,True,True,5.4511627906976745,5.0,13.0,2165.4955445424303,1.4388674714567642
mo,t,1654.0,4488.0,True,True,5.426844014510278,5.0,15.0,2373.144106619799,1.4347908746189837
ms,t,878.0,2378.0,True,True,5.4168564920273345,5.0,15.0,1247.2611585369746,1.4205707956001987
mt,t,319.0,840.0,True,True,5.266457680250784,5.0,15.0,428.8146000845273,1.3442463952493018
nc,t,2672.0,7422.0,False,True,5.5553892215568865,5.0,16.0,3963.320625817342,1.4832786773268494
nd,t,228.0,569.0,True,True,4.991228070175438,5.0,12.0,289.56167832425956,1.2700073610713138
nh,t,350.0,939.0,True,True,5.365714285714286,5.0,12.0,494.1261188693467,1.4117889110552764
nj,t,2181.0,6061.0,False,True,5.5580009170105455,5.0,26.0,3205.3357978954054,1.4696633644637347
nm,t,612.0,1631.0,True,True,5.330065359477124,5.0,20.0,849.456824498943,1.388001347220495
ny,t,5411.0,14842.0,True,False,5.485862132692663,5.0,47.0,-1.0,-0.00018480872297172427
oh,t,3168.0,8747.0,False,True,5.522095959595959,5.0,27.0,4650.264291734091,1.467886455724145
ok,t,1205.0,3170.0,True,True,5.261410788381743,5.0,12.0,1681.270832781822,1.3952455043832548
or,t,1001.0,2770.0,True,True,5.534465534465535,5.0,17.0,1458.1877426120022,1.4567310116004017
pa,t,3446.0,9641.0,False,True,5.5954730121880445,5.0,16.0,5056.918818978347,1.4674749909977791
ri,t,250.0,668.0,True,False,5.344,5.0,25.0,-1.0,-0.004
sc,t,1323.0,3677.0,True,True,5.558578987150415,5.0,17.0,1952.6263293842235,1.4759080343040238
sd,t,242.0,620.0,True,True,5.12396694214876,5.0,11.0,316.23660456282903,1.3067628287720208
tn,t,1701.0,4691.0,True,True,5.515579071134627,5.0,13.0,2494.1464729437407,1.466282464987502
tx,t,6896.0,18554.0,True,True,5.381090487238979,5.0,28.0,9894.898156530533,1.4348750226987432
ut,t,716.0,1950.0,True,True,5.446927374301676,5.0,25.0,1032.6874825392133,1.4423009532670577
va,t,2198.0,6064.0,False,True,5.517743403093721,5.0,18.0,3218.4589315088224,1.4642670298038318
vt,t,193.0,501.0,True,True,5.191709844559585,5.0,13.0,259.25733369730466,1.3433022471362936
wa,t,1784.0,4986.0,False,True,5.589686098654709,5.0,40.0,2626.155941658998,1.4720605054142366
wv,t,546.0,1430.0,True,True,5.238095238095238,5.0,12.0,743.2724228511379,1.3613048037566629
wy,t,160.0,398.0,True,True,4.975,5.0,13.0,196.99844819858703,1.231240301241169
mean,bg,1730.5106382978724,4718.893617021276,0.7446808510638298,0.8936170212765957,5.397996783540211,5.0,21.0,2093.7953679647385,1.4176085800198175
median,bg,1323.0,3677.0,1.0,1.0,5.426844014510278,5.0,16.0,1925.9341792204582,1.4359151776518093
