Geography,State,Num Vertices,Partitions,Trials,Success Rate,Time,Success Target
bg,vt,552,2,98126,0.0018139942522878,224.19006252288816,178
bg,wy,457,2,225209,0.0007903769387546,389.8386745452881,178
bg,ak,504,2,244606,0.0007277008740586,522.3252029418945,178
bg,nd,632,2,259659,0.0006855144631998,659.3121438026428,178
bg,de,706,2,250142,0.0007115958135778,722.778244972229,178
bg,sd,694,2,280026,0.0006356552605829,788.18967461586,178
bg,ri,789,2,124698,0.001427448716098,803.7052145004272,178
bg,nh,997,2,199618,0.0008917031530222,800.8728458881378,178
bg,me,1184,2,207645,0.0008572322955043,1029.0926849842072,178
bg,mt,900,2,475520,0.0003743270524899,1790.569258928299,178
bg,hi,773,2,947419,0.0001878788582454,5783.157710552216,178
bg,ut,2020,2,687627,0.0002588612721722,6563.174606084824,178
bg,wv,1639,2,751175,0.0002369620927214,7201.262028694153,178
bg,nm,1614,2,1011569,0.0001759642693676,7502.200617074966,178
bg,id,1284,2,1248756,0.0001425418576567,7614.118575811386,178
bg,ar,2294,2,685232,0.0002597660354449,7756.038952112198,178
bg,ms,2445,2,617212,0.0002883936151597,8305.165670633316,178
bg,ct,2716,2,500495,0.0003556479085705,6246.4300746917725,178
bg,sc,3408,2,768385,0.0002316547043474,13738.9444770813,178
bg,ks,2461,2,1285361,0.000138482496357,16915.598707914352,178
bg,or,2970,2,1013857,0.0001755671657837,15109.563030958176,178
bg,ia,2703,2,1251897,0.0001421842212258,17944.049647331238,178
bg,ok,3374,2,1299492,0.0001369766031649,21222.4234585762,178
bg,ky,3581,2,1230170,0.0001446954485965,24773.620285511017,178
bg,al,3925,2,1025741,0.0001735330848625,21856.581261634827,178
bg,md,4079,2,1200183,0.0001483107159491,30219.271738290787,178
bg,tn,4562,2,1014770,0.0001754092060269,28227.81967568397,178
bg,co,4058,2,1518442,0.0001172254192125,34056.41312098503,178
bg,mn,4706,2,1227988,0.0001449525565396,31656.70950174332,178
bg,la,4294,2,1539157,0.0001156477214475,38390.95023393631,178
bg,az,4773,2,1969611,9.037317521073958e-05,52479.10117077828,178
bg,ma,5116,2,1650799,0.0001078265736773,53110.81409955025,178
bg,nj,6599,2,1188411,0.0001497798320614,49536.81575489044,178
bg,mo,5031,2,2499995,7.12001424002848e-05,74087.5789077282,178
bg,in,5290,2,2007999,8.864546247283988e-05,64869.99173641205,178
bg,wa,5311,2,2617507,6.800363857670676e-05,80240.12129569054,178
bg,nc,7111,2,1554133,0.0001145333121425,73062.30515694618,178
bg,ga,7446,2,1813339,9.816145795132626e-05,87048.2389266491,178
bg,va,5963,2,4994578,3.5638646548316994e-05,176501.5587773323,178
bg,ca,25600,2,13452218,1.3232018690152063e-05,4313861.711243629,178
bg,fl,13387,2,7240269,2.4584721921243533e-05,1144964.1463048458,178
bg,il,9898,2,2384165,7.465926225743604e-05,164652.91501045227,178
bg,mi,8386,2,1941741,9.167031030400039e-05,105559.75178027153,178
bg,ny,16069,2,4323555,4.116982436906666e-05,911640.0424113274,178
bg,oh,9472,2,3107687,5.727732554790749e-05,207061.7437028885,178
bg,pa,10173,2,3045934,5.843856104564314e-05,212919.70619821548,178
bg,tx,18638,2,10573524,1.6834500966754318e-05,1569036.7177665234,178
