Geography,State,Num Vertices,Partitions,Success Target,Trials,Success Rate,Time
cnty,ak,30,2,178,4694,0.03792075,0.437908411
cnty,al,67,2,178,6012,0.029607452,1.004180431
cnty,ar,75,2,178,6820,0.026099707,1.268700838
cnty,az,15,2,178,1220,0.145901639,0.050012589
cnty,ca,58,2,178,3355,0.053055142,0.544229031
cnty,co,64,2,178,6161,0.028891414,0.994556427
cnty,ct,8,2,178,537,0.331471136,0.010177135
cnty,de,3,2,178,178,1,0.002940416
cnty,fl,67,2,178,5774,0.030827849,1.359538794
cnty,ga,159,2,178,15304,0.011630946,6.482884884
cnty,hi,5,2,178,178,1,0.002007723
cnty,ia,99,2,178,9053,0.019661991,2.327449322
cnty,id,44,2,178,5071,0.035101558,0.633472204
cnty,il,102,2,178,9159,0.019434436,2.537695885
cnty,in,92,2,178,8042,0.022133798,1.9804883
cnty,ks,105,2,178,8411,0.021162763,2.410116434
cnty,ky,120,2,178,12201,0.014588968,4.143313885
cnty,la,64,2,178,5450,0.03266055,0.922930717
cnty,ma,14,2,178,1173,0.151747656,0.045362711
cnty,md,24,2,178,3220,0.055279503,0.221996546
cnty,me,16,2,178,1189,0.149705635,0.048902273
cnty,mi,83,2,178,6354,0.02801385,1.459419727
cnty,mn,87,2,178,8503,0.020933788,2.003725052
cnty,mo,115,2,178,13434,0.013249963,4.281021833
cnty,ms,82,2,178,6100,0.029180328,1.353865623
cnty,mt,56,2,178,4406,0.040399455,0.645318985
cnty,nc,100,2,178,7417,0.023998921,2.273075581
cnty,nd,53,2,178,3718,0.047875202,0.506702423
cnty,ne,93,2,178,9351,0.019035397,2.353498459
cnty,nh,10,2,178,771,0.230869001,0.01971817
cnty,nj,21,2,178,964,0.184647303,0.057883501
cnty,nm,33,2,178,3153,0.056454171,0.276569605
cnty,ny,62,2,178,7374,0.024138866,1.470050573
cnty,oh,88,2,178,9516,0.018705338,2.185652971
cnty,ok,77,2,178,7627,0.023338141,1.508971453
cnty,or,36,2,178,5033,0.035366581,0.460436821
cnty,pa,67,2,178,5979,0.029770865,1.078830242
cnty,ri,5,2,178,334,0.532934132,0.006015301
cnty,sc,46,2,178,4119,0.043214372,0.499558926
cnty,sd,66,2,178,6231,0.028566843,1.021794558
cnty,tn,95,2,178,6105,0.029156429,1.793925047
cnty,tx,254,2,178,28110,0.006332266,21.7292943
cnty,ut,29,2,178,1772,0.100451467,0.132101774
cnty,va,133,2,178,22710,0.007837957,9.184473991
cnty,vt,14,2,178,1137,0.156552331,0.042167425
cnty,wa,39,2,178,3775,0.047152318,0.368475199
cnty,wi,72,2,178,6296,0.028271919,1.135883808
cnty,wv,55,2,178,7997,0.022258347,1.310186863
cnty,wy,23,2,178,1799,0.098943858,0.116607666
cnty,ak,30,3,178,10610,0.016776626,0.998222828
cnty,al,67,3,178,95460,0.001864655,16.2247293
cnty,ar,75,3,178,105376,0.001689189,19.84357142
cnty,az,15,3,178,4471,0.039812123,0.183202267
cnty,ca,58,3,178,84346,0.002110355,13.91551089
cnty,co,64,3,178,104432,0.001704458,16.8988719
cnty,ct,8,3,178,642,0.277258567,0.014897585
cnty,de,3,3,178,178,1,0.002006769
cnty,fl,67,3,178,54093,0.003290629,12.75391173
cnty,ga,159,3,178,711564,0.000250153,301.6700428
cnty,hi,5,3,178,178,1,0.002005816
cnty,ia,99,3,178,196561,0.000905571,52.29149914
cnty,id,44,3,178,58361,0.003049982,7.523079634
cnty,il,102,3,178,173104,0.001028284,48.8156538
cnty,in,92,3,178,163827,0.001086512,40.02702093
cnty,ks,105,3,178,262382,0.0006784,76.37869143
cnty,ky,120,3,178,317740,0.000560206,112.3087401
cnty,la,64,3,178,61452,0.00289657,10.71898246
cnty,ma,14,3,178,1236,0.144012945,0.049614906
cnty,md,24,3,178,13416,0.01326774,0.937893629
cnty,me,16,3,178,2962,0.060094531,0.133513689
cnty,mi,83,3,178,123084,0.001446167,29.00197053
