Geography,State,Num Vertices,Partitions,Success Target,Trials,Success Rate,Time
t,wy,160,2,178,72033,0.00247109,35.25270438
t,ak,177,2,178,71007,0.002506795,43.67017794
t,vt,193,2,178,33132,0.00537245,20.22636294
t,sd,242,2,178,55059,0.003232896,43.26009083
t,de,262,2,178,56731,0.003137614,45.92288709
t,nd,228,2,178,69814,0.002549632,52.60732794
t,me,407,2,178,47568,0.003742011,65.91869903
t,nh,350,2,178,62112,0.002865791,99.5488596
t,mt,319,2,178,165200,0.001077482,176.2133465
t,nm,612,2,178,239021,0.000744704,531.5469918
t,wv,546,2,178,208030,0.000855646,546.3529859
t,ct,883,2,178,156962,0.001134032,526.1247787
t,id,456,2,178,328318,0.000542157,609.4531622
t,ut,716,2,178,215163,0.00082728,602.6656613
t,ms,878,2,178,184094,0.000966897,692.5045149
t,ar,823,2,178,239548,0.000743066,797.1525507
t,ks,829,2,178,268239,0.000663587,921.1084247
t,nj,2181,2,178,293916,0.000605615,3387.04212
t,wa,1784,2,178,680807,0.000261454,5810.971921
t,nc,2672,2,178,461312,0.000385856,6744.615713
t,ga,2796,2,178,531634,0.000334817,7963.683495
t,mi,3017,2,178,548911,0.000324278,8665.208445
t,az,1765,2,178,704346,0.000252717,5675.042774
t,il,3265,2,178,554408,0.000321063,9737.668297
t,ri,248,2,178,28041,0.006347848,48.20729637
t,hi,329,2,178,285631,0.000623182,671.5309565
t,mn,1505,2,178,312569,0.000569474,1993.644595
t,md,1475,2,178,302941,0.000587573,2088.445708
t,ma,1620,2,178,352401,0.000505106,2577.498165
t,co,1447,2,178,383859,0.000463712,2233.046838
t,la,1388,2,178,299790,0.000593749,1904.238773
t,oh,3168,2,178,1017585,0.000174924,16616.29127
t,al,1437,2,178,355935,0.000500091,2448.967505
t,pa,3446,2,178,895277,0.000198821,17243.29453
t,sc,1323,2,178,284616,0.000625404,1596.105447
t,or,1001,2,178,262421,0.000678299,1037.821994
t,ok,1205,2,178,309224,0.000575634,1542.658246
t,ky,1306,2,178,357089,0.000498475,2142.460592
t,ia,896,2,178,249970,0.000712085,945.3735945
t,va,2198,2,178,1592012,0.000111808,18665.27574
t,tn,1701,2,178,345899,0.000514601,3138.784597
t,in,1696,2,178,510252,0.000348847,4078.040665
t,mo,1654,2,178,618581,0.000287755,4797.936401
t,ny,5410,2,178,877678,0.000202808,52744.47606
t,fl,5159,2,178,1996465,8.92E-05,104650.9221
t,tx,6896,2,178,3416662,5.21E-05,129399.7585
t,ca,9126,2,178,4495340,3.96E-05,430354.2814
t,vt,193,3,178,1310851,0.00013579,787.216768
t,hi,329,3,178,58116759,3.06E-06,135369.1743
t,id,456,3,178,73293194,2.43E-06,136048.9894
t,mt,319,3,178,30746589,5.79E-06,32491.95463
t,wy,160,3,178,15649038,1.14E-05,7500.722143
t,me,407,3,178,8367066,2.13E-05,11171.80348
t,ak,177,3,178,5685019,3.13E-05,3578.73556
t,nh,350,3,178,6974414,2.55E-05,8084.20458
t,nd,228,3,178,15409054,1.16E-05,12268.89994
t,de,262,3,178,6360846,2.80E-05,5105.743478
t,ri,248,3,178,2581213,6.90E-05,4404.858087
t,sd,242,3,178,4486426,3.97E-05,3469.96391
t,nm,612,3,178,83741694,2.13E-06,182961.98
t,wv,546,3,178,94386070,1.89E-06,246202.93
t,ct,883,3,178,81968342,2.17E-06,263181.6568
t,ar,823,3,178,88878494,2.00E-06,281306.0613
t,ms,878,3,178,92182277,1.93E-06,362317.9789
t,ks,829,3,178,140636201,1.27E-06,460481.2806
t,ut,716,3,178,191353083,9.30E-07,503935.5851
